# ID_1   RA_1_1     DEC_1_1    X         Y         isoarea_SE class_starSE flags_SE r50_SE f_autoSE e_autoSE a_f001w   ell_f001w theta_f001w rKron_f001w f_f435w  f_f606w  f_f775w f_f814w  f_f105w  f_f125w  f_f140w  f_f160w  f_f090w  f_f115w f_f150w f_f200w f_f277w f_f356w f_f410m f_f444w e_f435w e_f606w e_f775w e_f814w e_f105w e_f125w e_f140w e_f160w e_f090w e_f115w e_f150w e_f200w e_f277w e_f356w e_f410m e_f444w apopt flag_1 ID_2   RA_2_1     DEC_2_1    zspec_1 zphot_1 EAzY_eazy_v13 EAzY_Larson EAzY_LarsonLyaRed flag_2 Separation_1 ID            Ra_1_2             Dec_1_2             Field   M_UV                zbest              zphot_2            zspec_2 ref                            isBL Xray index MBH                Lbol                  jname                ndup uid   ra_2_2     dec_2_2    file                                                    root                   srcid    nGr Grating grade zfit   z      comment                                                               References                                                                             nRef sn50  wmin wmax Lya  Ha   OIII L_Ha  L_OIII HST NIRCam slit FITS              Fnu Flam GroupID GroupSize Separation_2          Separation           
  15122  3.640415   -30.386432 3960.662  9368.246  151.0      0.96         2.0      2.851  0.05533  0.00222  2.373121  0.067096  78.434355   18.984968   0.0      0.00372  0.0     -0.0038  0.0      0.0      0.0      0.0      0.0      0.0087  0.01095 0.01176 0.01632 0.03052 0.06705 0.10446 -99.0   0.00901 -99.0   0.01345 -99.0   -99.0   -99.0   -99.0   -99.0   0.0028  0.00227 0.00232 0.00148 0.00162 0.00275 0.00217 0.28  316    15122  3.640415   -30.386432 8.503   8.503   8.503         8.503       8.503             316    0.0          29255         3.640414           -30.386432          A2744   -18.18              8.5                8.5                8.5     Kocevski24/greene23kokorev23   2    0    27    8.17               6.309573444801892E45  j001433.70m302311.18 1    16473 3.640408   -30.386438 uncover-v3_prism-clear_2561_20466.spec.fits             uncover-v3             20466    0   ""      3     8.5039 8.5039 "Redshifts match v2 grade=3"                                          "DKo24  z=8.500"                                                                       1    2.17  0.6  5.29 5.8  ""   ""   ""    42.65  ""  ""     ""   "FITS   zfit   spl" ""  ""   ""      ""        0.028526203938301225  0.0031054805171042226
  17159  3.54281    -30.380646 13717.187 10041.595 564.0      0.99         0.0      4.353  0.30976  0.00204  4.523138  0.167991  -15.000846  36.185104   0.0      0.01973  0.0     0.04614  0.0      0.0      0.0      0.0      0.0      0.08562 0.09675 0.1164  0.13523 0.31232 0.13891 0.32514 -99.0   0.02818 -99.0   0.01535 -99.0   -99.0   -99.0   -99.0   -99.0   0.0039  0.00328 0.00336 0.00162 0.00197 0.00285 0.00227 0.5   16     17159  3.54281    -30.380646 5.795   5.795   5.795         5.795       5.795             16     0.0          23608         3.542815           -30.380646          A2744   -20.50757785471091  5.8                0.0                5.8     greene23                       1    0    9     7.5                1.5848931924611238E44 j001410.28m302250.33 1    16514 3.542813   -30.380646 uncover-v3_prism-clear_2561_23608.spec.fits             uncover-v3             23608    0   ""      3     5.7951 5.7951 "Redshifts match v2 grade=3"                                          -                                                                                      0    4.64  0.6  5.29 -1.5 54.5 ""   42.95 43.31  ""  ""     ""   "FITS   zfit   spl" ""  ""   ""      ""        0.006211328786213522  0.01552832196676852  
  17601  3.567013   -30.379721 11297.779 10148.863 291.0      0.97         3.0      4.063  0.07817  0.00166  3.588188  0.069305  -76.778935  28.705502   0.00359  0.00262  0.0     0.00796  0.03479  0.00102  0.0      0.02664  0.00914  0.01612 0.01707 0.02139 0.02605 0.05183 0.05528 0.10852 0.00217 0.00185 -99.0   0.00143 0.01044 0.01485 -99.0   0.01449 0.00377 0.00289 0.00336 0.00215 0.00128 0.00137 0.00316 0.00173 0.33  302    17601  3.567013   -30.379721 -99.0   7.85    8.298         5.892       5.929             302    0.0          26742         3.567011           -30.379722          A2744   -18.53              5.71               5.71               0.0     Kocevski24                     0    0    11    -99.0              5.131992622724041E43  j001416.04m302247.17 1    16525 3.566821   -30.37977  uncover-v3_prism-clear_2561_24278.spec.fits             uncover-v3             24278    0   ""      3     3.6969 3.6969 "Redshift matches uncover-v2_prism-clear_2561_24278 z=3.6973"         -                                                                                      0    7.23  0.6  5.29 ""   27.0 30.4 41.92 42.26  ""  ""     ""   "FITS   zfit   spl" ""  ""   ""      ""        0.6148627614682479    0.007179229424682876 
  20020  3.569592   -30.373218 11039.884 10902.398 129.0      0.96         0.0      2.809  0.03796  0.00155  2.522455  0.127274  81.657721   20.179644   -0.00186 6.5E-4   0.0     -0.0042  0.00479  0.01249  0.0      0.0164   0.0      0.00871 0.00849 0.00983 0.01066 0.03121 0.05489 0.06219 0.00378 0.00203 -99.0   0.00263 0.01404 0.01273 -99.0   0.02337 -99.0   0.00262 0.00218 0.00225 0.00122 0.00139 0.00225 0.00168 0.28  12     20020  3.569592   -30.373218 7.037   7.037   7.037         7.037       7.037             12     0.0          25119         3.56959            -30.373221          A2744   -17.69              7.04               7.04               7.04    Kocevski24/greene23            2    0    12    -99.0              2.5495652184558343E43 j001416.70m302223.60 1    16568 3.569597   -30.373223 uncover-v3_prism-clear_2561_28876.spec.fits             uncover-v3             28876    0   ""      3     7.038  7.038  "Redshifts match v2 grade=3"                                          "DKo24  z=7.040"                                                                       1    3.7   0.6  5.29 1.2  25.8 ""   42.42 41.19  ""  ""     ""   "FITS   zfit   spl" ""  ""   ""      ""        0.022902493537420302  0.012458991454236134 
  25363  3.530005   -30.358015 14997.866 12663.792 599.0      0.99         3.0      3.056  0.36277  0.00109  3.837839  0.112438  -72.903211  30.702709   0.0      0.0      0.0     0.0      0.0      0.0      0.0      0.0      0.04018  0.03981 0.04375 0.04582 0.13256 0.30868 0.56265 0.40222 -99.0   -99.0   -99.0   -99.0   -99.0   -99.0   -99.0   -99.0   0.00162 0.00156 0.00183 0.00169 9.5E-4  0.00118 0.00398 8.5E-4  0.33  10308  25363  3.530005   -30.358015 4.96    4.96    4.96          4.96        4.96              10308  0.0          4535          3.530005           -30.358017          A2744   -19.05              4.96               4.96               4.96    Kocevski24/greene23            2    0    7     8.4                1.9952623149688667E45 j001407.20m302128.85 1    16695 3.530009   -30.358013 uncover-v3_prism-clear_2561_38108.spec.fits             uncover-v3             38108    0   ""      3     4.962  4.962  "Redshifts match v2 grade=3"                                          "DKo24  z=4.960"                                                                       1    8.81  0.6  5.29 2.6  71.3 ""   42.66 42.24  ""  ""     ""   "FITS   zfit   spl" ""  ""   ""      ""        0.019019828459639     0.007200000005568831 
  27018  3.533991   -30.353315 14599.406 13208.488 482.0      0.92         2.0      5.465  0.15179  0.00389  4.896705  0.188343  66.765936   39.173637   0.0      0.0      0.0     0.0      0.0      0.0      0.0      0.0      0.0      0.03434 0.04673 0.04643 0.05424 0.12563 0.17306 0.1882  -99.0   -99.0   -99.0   -99.0   -99.0   -99.0   -99.0   -99.0   -99.0   0.00462 0.00393 0.00438 0.00235 0.00278 0.00441 0.00325 0.33  318    27018  3.533991   -30.353315 6.77    6.77    6.77          6.77        6.77              318    0.0          3989          3.533994           -30.353307          A2744   -19.41              6.76               6.76               6.76    Kocevski24/greene23            2    0    8     7.7                1.9952623149688667E45 j001408.16m302111.91 1    16733 3.533996   -30.353308 uncover-v3_prism-clear_2561_41225.spec.fits             uncover-v3             41225    0   ""      3     6.7695 6.7695 "Redshifts match v2 grade=3"                                          "DKo24  z=6.760"                                                                       1    4.1   0.6  5.29 0.7  34.5 ""   42.52 42.45  ""  ""     ""   "FITS   zfit   spl" ""  ""   ""      ""        0.007180681256007619  0.030270363497680565 
  29831  3.584756   -30.343626 9523.048  14331.194 3866.0     1.0          2.0      3.19   4.61483  0.00419  6.949128  0.094432  53.591797   55.593025   -0.01091 0.01419  0.0     0.10616  0.0      0.0      0.0      0.0      0.0      0.1627  0.31436 0.55307 2.2682  5.81852 3.78813 4.38319 0.00629 0.00479 -99.0   0.00667 -99.0   -99.0   -99.0   -99.0   -99.0   0.00337 0.00272 0.00324 0.00408 0.0074  0.00708 0.00475 0.33  10215  29831  3.584756   -30.343626 4.467   4.467   4.467         4.467       4.467             10215  0.0          45924         3.584758           -30.34363           A2744   -20.50757785471091  4.46               0.0                4.46    greene23                       2    0    19    8.9                2.511886431509572E46  j001420.34m302037.06 2    16786 3.584758   -30.343629 uncover-62-v3_prism-clear_2561_58453.spec.fits          uncover-62-v3          58453    0   ""      3     4.4626 4.4626 "broad lines"                                                         -                                                                                      0    84.05 0.6  5.29 1.9  85.0 ""   43.77 43.07  ""  ""     ""   "FITS   zfit   spl" ""  ""   4       2         0.003600000014234412  0.015683425035743305 
  9213   215.03539  52.890669  15106.314 2954.585  1479.0     0.06         2.0      5.634  0.56201  0.00382  7.738103  0.2375    44.043111   61.904827   0.0      0.00615  0.0     0.00857  0.0      0.20066  0.0      0.36168  0.0      0.1241  0.34732 0.33595 0.38949 0.47744 0.50098 1.23114 -99.0   0.00868 -99.0   0.00742 -99.0   0.01702 -99.0   0.01439 -99.0   0.00269 0.00341 0.00275 0.00277 0.00234 0.00701 0.0044  0.33  314    9213   215.03539  52.890669  8.679   8.679   8.679         8.679       8.679             314    0.0          CEERS_01019   215.035375         52.890667           CEERS   -22.44              8.681              0.0                8.681   Harikane23                     3    0    891   -99.0              1.5112500860256687E45 j142008.49p525326.40 5    21908 215.035391 52.890662  ceers-v3_g140m-f100lp_1345_1019.spec.fits               ceers-v3               1019     0   ""      3     8.6823 8.6823 "Redshift matches rubies-egs52-v3_g395m-f290lp_4233_8488 z=8.6791"    "MTa23  z=8.678 ;  KNa23  z=8.681 ;  YIs23  z=8.679 ;  RSa23  z=8.679 ;  RLa23  z=8.679" 5    0.87  0.98 1.88 2.9  ""   ""   ""    ""     ""  ""     ""   "FITS   zfit   spl" ""  ""   67      6         0.03913719363285073   0.03336633661147021  
  9517   215.145281 52.967289  2952.123  2883.76   388.0      0.08         0.0      5.261  0.15442  0.00398  5.021129  0.309153  -21.783984  40.169033   0.0      0.01796  0.0     0.11513  0.0      0.11265  0.0      0.10777  0.0      0.11473 0.12136 0.15691 0.25166 0.21146 0.18643 0.18055 -99.0   0.00946 -99.0   0.00892 -99.0   0.0138  -99.0   0.01389 -99.0   0.00438 0.00594 0.00499 0.00587 0.00359 0.00815 0.00796 0.5   14     9517   215.145281 52.967289  4.48    4.48    4.48          4.48        4.48              14     0.0          CEERS_01236   215.145292         52.967278           CEERS   -20.50757785471091  4.484              0.0                4.484   Harikane23                     3    0    903   7.2552725051033065 1.8E44                j142034.87p525802.20 4    16040 215.145298 52.967279  ceers-v3_g235m-f170lp_1345_1236.spec.fits               ceers-v3               1236     0   ""      3     4.4831 4.4831 "Redshift matches ceers-v3_prism-clear_1345_1236 z=4.4893"            "KNa23  z=4.480"                                                                       1    0.75  1.7  3.15 ""   ""   ""   ""    41.69  ""  ""     ""   "FITS   zfit   spl" ""  ""   73      3         0.0134979809204213    0.046227471811870376 
  15403  214.955175 52.843027  23226.672 3669.338  433.0      0.99         3.0      3.563  0.24876  0.00311  4.421716  0.167883  -39.465776  35.37373    0.0      -0.00135 0.0     0.01017  0.0      0.02054  0.0      0.04777  0.0      0.02635 0.02981 0.03916 0.1276  0.23364 0.44487 0.36658 -99.0   0.0058  -99.0   0.00596 -99.0   0.0127  -99.0   0.01122 -99.0   0.0021  0.00389 0.00326 0.00411 0.00279 0.00607 0.00398 0.33  314    15403  214.955175 52.843027  -99.0   5.4     5.42          5.363       5.367             314    0.0          13736         214.95519257473848 52.843020797458365  CEERS   -18.438453380189998 5.356953144073486  5.356953144073486  0.0     Kokorev24                      0    0    879   -99.0              4.752690151467264E43  j141949.26p525034.44 3    16046 214.955251 52.8429    ceers-v3_g235m-f170lp_1345_1294.spec.fits               ceers-v3               1294     0   ""      3     4.9981 4.9981 ""                                                                    "KNa23  z=4.999"                                                                       1    0.59  1.7  3.15 ""   ""   ""   ""    42.4   ""  ""     ""   "FITS   zfit   spl" ""  ""   61      2         0.4530473273279869    0.0442599570018484   
  25931  215.137063 52.988558  1398.888  4994.243  313.0      0.99         2.0      3.079  0.12014  0.00269  3.691726  0.178357  33.923663   29.533812   0.0      -0.00363 0.0     0.0067   0.0      0.01824  0.0      0.03312  0.0      0.01598 0.02107 0.02051 0.06605 0.10116 0.36173 0.28559 -99.0   0.00449 -99.0   0.00473 -99.0   0.01193 -99.0   0.01074 -99.0   0.00258 0.00386 0.00315 0.00269 0.0021  0.00498 0.0044  0.33  314    25931  215.137063 52.988558  5.284   5.284   5.284         5.284       5.284             314    0.0          20777         215.137064         52.988557           CEERS   -17.93              5.29               5.29               5.29    Kocevski24/Kokorev24           2    0    901   7.32               3.1100813442940455E43 j142032.90p525918.80 2    8217  215.137081 52.988554  rubies-egs51-nod-v3_g395m-f290lp_4233_926125.spec.fits  rubies-egs51-nod-v3    926125   0   ""      3     5.2842 5.2842 "Redshift matches rubies-egs51-v3_g395m-f290lp_4233_926125 z=5.2842"  "DKo24  z=5.290"                                                                       1    1.04  2.88 5.2  ""   41.2 ""   42.4  42.27  ""  ""     ""   "FITS   zfit   spl" ""  ""   72      4         0.038391243731540084  0.004201946932107397 
  26252  215.131461 52.984913  1994.416  5017.413  115.0      0.96         0.0      2.704  0.04574  0.00222  2.292698  0.166847  76.285222   18.341587   0.0      0.0018   0.0     -0.00918 0.0      -2.0E-4  0.0      0.01391  0.0      0.00439 0.00557 0.00653 0.00803 0.04357 0.09616 0.10454 -99.0   0.0032  -99.0   0.00352 -99.0   0.01102 -99.0   0.00965 -99.0   0.00209 0.00309 0.00244 0.00218 0.00169 0.00379 0.00375 0.28  14     26252  215.131461 52.984913  -99.0   7.55    7.482         7.464       7.465             14     0.0          22239         215.13147827808137 52.984910779504645  CEERS   -16.226724031172736 7.131442070007324  7.131442070007324  0.0     Kokorev24/Kocevski24           0    0    899   -99.0              7.749168093439601E42  j142031.55p525905.68 2    8218  215.131478 52.98491   rubies-egs51-nod-v3_g395m-f290lp_4233_926156.spec.fits  rubies-egs51-nod-v3    926156   0   ""      1     6.6781 6.6781 ""                                                                    "DKo24  z=N/A"                                                                         1    0.07  2.88 5.01 ""   ""   ""   ""    41.82  ""  ""     ""   "FITS   zfit   spl" ""  ""   71      4         0.00287020549184784   0.03829034934378591  
  26781  215.078252 52.948508  7813.925  5102.086  226.0      0.98         0.0      2.928  0.08491  0.00216  2.917578  0.031437  57.830051   23.340628   0.0      -0.00194 0.0     -0.00542 0.0198   0.01781  0.0      0.01326  0.0      0.01899 0.01604 0.02118 0.02733 0.07984 0.11865 0.10467 -99.0   0.0034  -99.0   0.00396 0.00715 0.00803 -99.0   0.00778 -99.0   0.00189 0.00264 0.00224 0.00177 0.00146 0.00333 0.00264 0.28  13     26781  215.078252 52.948508  6.785   6.785   6.785         6.785       6.785             13     0.0          20496         215.078257         52.948504           CEERS   -18.72              6.79               6.79               6.79    Kocevski24/Kokorev24           2    0    895   6.97               6.021064104335899E43  j142018.78p525654.59 2    8219  215.078259 52.948497  rubies-egs51-nod-v3_g395m-f290lp_4233_927271.spec.fits  rubies-egs51-nod-v3    927271   0   ""      3     6.784  6.784  "Redshift matches rubies-egs51-v3_g395m-f290lp_4233_927271 z=6.7840"  "DKo24  z=6.790"                                                                       1    0.5   2.88 5.2  ""   10.9 ""   42.28 42.46  ""  ""     ""   "FITS   zfit   spl" ""  ""   69      4         0.025570691841845527  0.01802738839574289  
